GS,MS,JPM,
159.02,25.73,62.27,
158.52,25.76,61.87,
160.91,26.17,62.59,
159.85,25.88,61.79,
154.31,24.58,59.28,
152.2,24.11,58.2,
150.28,23.75,57.74,
150.41,23.72,57.32,
155.19,24.42,58.81,
155.35,24.38,58.36,
157.77,25.04,59.2,
159.82,25.53,59.87,
156.98,25.01,59.22,
156.5,25.07,59.71,
155.03,24.78,59.03,
153.84,24.72,59.4,
153,24.93,59.48,
154.08,25.27,59.94,
154.2,25.84,60.24,
156.29,25.94,60.46,
157.6,26.28,60.48,
152.91,25.85,58.75,
150.54,25.16,58.92,
152.03,25.43,59.2,
153.49,25.91,59.12,
153.94,26,59.34,
151.02,24.65,58.61,
149.91,24.61,59.12,
151.6,25.01,58.78,
155.35,26.09,59.94,
156.84,26.13,60.05,
155.33,26.14,59.96,
154.2,26.11,59.76,
154.65,26.09,59.2,
149.53,24.7,56.3,
150.25,25.16,57.54,
148.25,24.63,57.01,
145.56,23.71,56.14,
144.91,23.71,56.12,
148.79,24.54,58.57,
146.91,24,57.82,
147.73,23.96,57.81,
150.94,24.23,58.77,
149.02,23.72,58.35,
146.13,23.09,57.49,
140.69,21.69,53.07,
